"id","fdc_id","fdc_of_input_food","seq_num","amount","sr_code","sr_description","unit","portion_code","portion_description","gram_weight","retention_code","survey_flag"
"104096","2340760","","1","100.0","1107","Milk, human, mature, fluid (For Reference Only)","GM","0","NONE","100.0","0",""
"104097","2340761","","1","40.0","1077","Milk, whole, 3.25% milkfat, with added vitamin D","GM","0","NONE","40.0","0",""
"104099","2340761","","3","14.0","1082","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","GM","0","NONE","14.0","0",""
"104100","2340761","","4","8.0","1085","Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","GM","0","NONE","8.0","0",""
"104098","2340761","","2","38.0","1079","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","GM","0","NONE","38.0","0",""
"104101","2340762","","1","100.0","1077","Milk, whole, 3.25% milkfat, with added vitamin D","GM","0","NONE","100.0","0",""
"104102","2340763","","1","100.0","1079","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","GM","0","NONE","100.0","0",""
"104103","2340764","","1","100.0","1082","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","GM","0","NONE","100.0","0",""
"104104","2340765","","1","100.0","1085","Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","GM","0","NONE","100.0","0",""
"104105","2340766","","1","100.0","1082","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D","GM","0","NONE","100.0","0",""
"104106","2340767","","1","100.0","1085","Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)","GM","0","NONE","100.0","0",""
"104107","2340768","","1","100.0","1079","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D","GM","0","NONE","100.0","0",""
"104108","2340769","","1","100.0","1077","Milk, whole, 3.25% milkfat, with added vitamin D","GM","0","NONE","100.0","0",""
"104109","2340770","","1","100.0","1088","Milk, buttermilk, fluid, cultured, lowfat","GM","0","NONE","100.0","0",""
"104110","2340771","","1","100.0","1230","Milk, buttermilk, fluid, whole","GM","0","NONE","100.0","0",""
"104111","2340772","","1","50.0","1289","Kefir, lowfat, plain, LIFEWAY","GM","0","NONE","50.0","0",""
"104112","2340772","","2","50.0","1290","Kefir, lowfat, strawberry, LIFEWAY","GM","0","NONE","50.0","0",""
"104113","2340773","","1","100.0","1106","Milk, goat, fluid, with added vitamin D","GM","0","NONE","100.0","0",""
"104114","2340774","","1","23.0","1154","Milk, dry, nonfat, regular, with added vitamin A and vitamin D","GM","0","NONE","23.0","0",""
"104115","2340774","","2","1.0","14411","Beverages, water, tap, drinking","C","10205","1 cup","237.0","0",""
"104117","2340775","","2","1.0","14411","Beverages, water, tap, drinking","C","10205","1 cup","237.0","0",""
"104116","2340775","","1","42.662","1090","Milk, dry, whole, with added vitamin D","GM","0","NONE","42.662","0",""
"104119","2340776","","2","1.0","14411","Beverages, water, tap, drinking","C","10205","1 cup","237.0","0",""
"104118","2340776","","1","23.0","1154","Milk, dry, nonfat, regular, with added vitamin A and vitamin D","GM","0","NONE","23.0","0",""
"104120","2340776","","3","2.5","1003","Butter oil, anhydrous","GM","0","NONE","2.5","0",""
"104122","2340777","","2","1.0","14411","Beverages, water, tap, drinking","C","10205","1 cup","237.0","0",""
"104121","2340777","","1","23.0","1091","Milk, dry, nonfat, regular, without added vitamin A and vitamin D","GM","0","NONE","23.0","0",""
"104123","2340778","","1","100.0","1096","Milk, canned, evaporated, with added vitamin D and without added vitamin A","GM","0","NONE","100.0","0",""
"104124","2340779","","1","100.0","1096","Milk, canned, evaporated, with added vitamin D and without added vitamin A","GM","0","NONE","100.0","0",""
"104126","2340780","","2","1.8","1003","Butter oil, anhydrous","GM","0","NONE","1.8","0",""
"104125","2340780","","1","100.0","1097","Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D","GM","0","NONE","100.0","0",""
"104127","2340781","","1","100.0","1097","Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D","GM","0","NONE","100.0","0",""
"104128","2340782","","1","100.0","1095","Milk, canned, condensed, sweetened","GM","0","NONE","100.0","0",""
"104132","2340783","","4","6.0","14171","Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2","GM","0","NONE","6.0","0",""
"104129","2340783","","1","32.0","11350000","Almond milk, sweetened","GM","0","NONE","32.0","0",""
"104131","2340783","","3","30.0","16139","Soymilk, original and vanilla, with added calcium, vitamins A and D","GM","0","NONE","30.0","0",""
"104130","2340783","","2","32.0","14091","Almond milk, unsweetened, plain, shelf stable","GM","0","NONE","32.0","0",""
"104133","2340784","","1","96.0","16222","Soy milk, unsweetened, plain, shelf stable","GM","0","NONE","96.0","0",""
"104134","2340784","","2","4.0","19335","Sugars, granulated","GM","0","NONE","4.0","0",""
"104135","2340785","","1","100.0","16222","Soy milk, unsweetened, plain, shelf stable","GM","0","NONE","100.0","0",""
"104136","2340786","","1","100.0","16222","Soy milk, unsweetened, plain, shelf stable","GM","0","NONE","100.0","0",""
"104139","2340787","","3","0.3","19165","Cocoa, dry powder, unsweetened","GM","0","NONE","0.3","0",""
"104137","2340787","","1","93.0","16222","Soy milk, unsweetened, plain, shelf stable","GM","0","NONE","93.0","0",""
"104138","2340787","","2","7.0","19335","Sugars, granulated","GM","0","NONE","7.0","0",""
"104141","2340788","","2","0.3","19165","Cocoa, dry powder, unsweetened","GM","0","NONE","0.3","0",""
"104140","2340788","","1","100.0","16222","Soy milk, unsweetened, plain, shelf stable","GM","0","NONE","100.0","0",""
"104143","2340789","","2","4.0","19335","Sugars, granulated","GM","0","NONE","4.0","0",""
"104142","2340789","","1","96.0","14091","Almond milk, unsweetened, plain, shelf stable","GM","0","NONE","96.0","0",""
"104146","2340790","","3","0.3","19165","Cocoa, dry powder, unsweetened","GM","0","NONE","0.3","0",""
"104144","2340790","","1","93.0","14091","Almond milk, unsweetened, plain, shelf stable","GM","0","NONE","93.0","0",""
"104145","2340790","","2","7.0","19335","Sugars, granulated","GM","0","NONE","7.0","0",""
"104147","2340791","","1","100.0","14091","Almond milk, unsweetened, plain, shelf stable","GM","0","NONE","100.0","0",""
"104149","2340792","","2","0.3","19165","Cocoa, dry powder, unsweetened","GM","0","NONE","0.3","0",""
"104148","2340792","","1","100.0","14091","Almond milk, unsweetened, plain, shelf stable","GM","0","NONE","100.0","0",""
"104150","2340793","","1","100.0","14639","Beverages, rice milk, unsweetened","GM","0","NONE","100.0","0",""
"104151","2340794","","1","100.0","14171","Beverages, coconut milk, sweetened, fortified with calcium, vitamins A, B12, D2","GM","0","NONE","100.0","0",""
"104153","2340795","","2","0.012","999328","Vitamin D as ingredient","GM","0","NONE","0.012","0",""
